"","GDP"
"1",243.1
"2",246.3
"3",250.1
"4",260.3
"5",266.2
"6",272.9
"7",279.5
"8",280.7
"9",275.4
"10",271.7
"11",273.3
"12",271
"13",281.2
"14",290.7
"15",308.5
"16",320.3
"17",336.4
"18",344.5
"19",351.8
"20",356.6
"21",360.2
"22",361.4
"23",368.1
"24",381.2
"25",388.5
"26",392.3
"27",391.7
"28",386.5
"29",385.9
"30",386.7
"31",391.6
"32",400.3
"33",413.8
"34",422.2
"35",430.9
"36",437.8
"37",440.5
"38",446.8
"39",452
"40",461.3
"41",470.6
"42",472.8
"43",480.3
"44",475.7
"45",468.4
"46",472.8
"47",486.7
"48",500.4
"49",511.1
"50",524.2
"51",525.2
"52",529.3
"53",543.3
"54",542.7
"55",546
"56",541.1
"57",545.9
"58",557.4
"59",568.2
"60",581.6
"61",595.2
"62",602.6
"63",609.6
"64",613.1
"65",622.7
"66",631.8
"67",645
"68",654.8
"69",671.2
"70",680.8
"71",692.8
"72",698.4
"73",719.2
"74",732.4
"75",750.2
"76",773.1
"77",797.3
"78",807.2
"79",820.8
"80",834.9
"81",846
"82",851.1
"83",866.6
"84",883.2
"85",911.1
"86",936.3
"87",952.3
"88",970.1
"89",995.4
"90",1011.4
"91",1032
"92",1040.7
"93",1053.5
"94",1070.1
"95",1088.5
"96",1091.5
"97",1137.8
"98",1159.4
"99",1180.3
"100",1193.6
"101",1233.8
"102",1270.1
"103",1293.8
"104",1332
"105",1380.7
"106",1417.6
"107",1436.8
"108",1479.1
"109",1494.7
"110",1534.2
"111",1563.4
"112",1603
"113",1619.6
"114",1656.4
"115",1713.8
"116",1765.9
"117",1824.5
"118",1856.9
"119",1890.5
"120",1938.4
"121",1992.5
"122",2060.2
"123",2122.4
"124",2168.7
"125",2208.7
"126",2336.6
"127",2398.9
"128",2482.2
"129",2531.6
"130",2595.9
"131",2670.4
"132",2730.7
"133",2796.5
"134",2799.9
"135",2860
"136",2993.5
"137",3131.8
"138",3167.2
"139",3261.2
"140",3283.5
"141",3273.8
"142",3331.3
"143",3367.1
"144",3407.8
"145",3480.3
"146",3583.8
"147",3692.3
"148",3796.1
"149",3912.8
"150",4015
"151",4087.4
"152",4147.6
"153",4237
"154",4302.3
"155",4394.6
"156",4453.1
"157",4516.3
"158",4555.2
"159",4619.6
"160",4669.4
"161",4736.2
"162",4821.4
"163",4900.5
"164",5022.7
"165",5090.6
"166",5207.7
"167",5299.5
"168",5412.7
"169",5527.3
"170",5628.4
"171",5711.5
"172",5763.4
"173",5890.8
"174",5974.6
"175",6029.5
"176",6023.3
"177",6054.8
"178",6143.6
"179",6218.4
"180",6279.3
"181",6380.8
"182",6492.3
"183",6586.5
"184",6697.5
"185",6748.2
"186",6829.6
"187",6904.2
"188",7032.8
"189",7136.2
"190",7269.8
"191",7352.2
"192",7476.6
"193",7545.3
"194",7604.9
"195",7706.5
"196",7799.5
"197",7893.1
"198",8061.5
"199",8159
"200",8287
"201",8402
"202",8551.9
"203",8691.7
"204",8788.3
"205",8889.7
"206",8994.7
"207",9146.5
"208",9325.6
"209",9450.3
"210",9561.5
"211",9718.7
"212",9932.3
"213",10036.1
"214",10283.7
"215",10363.8
"216",10475.3
"217",10512.5
"218",10641.6
"219",10644.3
"220",10702.7
"221",10837.3
"222",10938
"223",11039.8
"224",11105.7
"225",11230.8
"226",11371.4
"227",11628.4
"228",11818.5
"229",11991.4
"230",12183.5
"231",12369.4
"232",12563.8
"233",12816.2
"234",12975.7
"235",13206.5
"236",13383.3
"237",13649.8
"238",13802.9
"239",13910.5
"240",14068.4
"241",14235
"242",14424.5
"243",14571.9
"244",14690
"245",14672.9
"246",14817.1
"247",14844.3
"248",14546.7
"249",14381.2
"250",14342.1
"251",14384.4
"252",14564.1
"253",14672.5
"254",14879.2
"255",15049.8
"256",15231.7
"257",15242.9
"258",15461.9
"259",15611.8
"260",15818.7
"261",16041.6
"262",16160.4
"263",16356
"264",16420.3
"265",16535.3
"266",16661
"267",16912.9
"268",17089.6
